Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
187.6235962,-255.1775229,-493.130393,405.4579163,0.255560875,-215.2107096,-209.4121599,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
185.6308365,-253.032378,-461.3804626,366.7405319,-16.1595583,-170.2326393,-173.0580354,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
183.5064697,-202.5030899,-657.6056814,403.8366318,3.295555115,-271.2739849,-281.5274048,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
164.7119522,-206.6560936,-575.2974844,362.8999329,-0.459666252,-156.3007092,-230.1187706,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
158.9451981,-230.7754827,-529.3734741,387.377739,0.150847435,-161.9595587,-219.6257544,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
172.3418045,-231.1377311,-452.5395155,387.6463318,5.435185432,-162.5161493,-193.6371446,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
172.1681976,-241.154387,-509.0977764,384.8912811,7.879042625,-165.811522,-194.560082,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
176.4071655,-246.9029939,-552.9191065,386.1366272,7.555546761,-169.8147941,-203.7593722,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
177.0449829,-234.6977091,-634.4716501,388.7580872,-5.017704964,-198.7252951,-241.2980247,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
171.8948364,-244.2282736,-616.6745281,381.0018158,-0.999627113,-166.7314982,-206.1954188,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
169.0706253,-224.3509054,-578.0798578,344.5059204,-1.942090988,-82.68961787,-202.9709959,222.2596741,-274.3494916,-424.6524382,130.8800125,-268.8141632,-426.7706537,210.8803558,-179.7321868,-393.9697695,143.1160736,-176.8865991,-394.7687244,good
227.8357697,-229.7947168,-563.9897203,413.1615448,-15.00492096,-189.0538931,-223.5767126,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
230.151062,-229.0181851,-531.1182404,430.7977295,-3.891220093,-192.5563645,-220.0581694,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
213.9206696,-210.6791711,-538.2428312,413.4796906,-1.552205086,-187.1840286,-213.9876223,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
207.2220993,-199.3414092,-443.6804152,396.3022232,-1.598339081,-75.27151287,-201.7558694,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
232.4806213,-220.9225059,-584.4626141,445.1607513,-2.765378952,-237.6350284,-258.842268,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
245.0896454,-228.5881734,-772.112875,468.6754608,-7.335090637,-353.5661745,-348.8021851,264.7092438,-264.9134374,-530.6422663,180.6865692,-264.2455888,-529.459219,256.416626,-178.8995433,-490.4494715,197.6752472,-178.8580441,-486.8862963,good
236.3694,-212.8303671,-738.0956841,458.9707184,-3.86525631,-321.8102789,-339.486165,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
237.6753998,-186.0821342,-1077.529535,492.3820496,-5.822753906,-567.504487,-538.6976051,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
239.116745,-230.870626,-602.6031017,443.3638763,1.834588051,-170.2316952,-226.0803509,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
236.6607285,-229.7671223,-579.6833038,437.7344131,0.772819519,-157.1005654,-207.8163528,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
231.4651871,-181.6127157,-1022.949286,477.4432755,-2.874941826,-505.4503155,-507.0087862,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
238.9134216,-191.2878942,-857.8641701,480.916214,-2.38858223,-403.8818836,-414.4630909,276.5348816,-263.7273002,-712.6977825,185.1753235,-259.8479462,-717.0495701,267.033844,-164.3512416,-650.8347559,204.1720581,-160.5366039,-652.4551105,good
204.2552948,-169.1835737,-668.0606747,414.5578003,11.08288765,-191.6098881,-277.5024605,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
212.4750137,-169.346931,-587.733407,425.3769302,5.549726486,-152.1511495,-200.5067754,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
194.7307587,-158.5587645,-494.5098209,405.3694153,11.36488438,-99.63590026,-183.4974933,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
208.087616,-195.7155347,-440.2172327,425.3860474,24.65623856,-139.412384,-170.9077835,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
190.8685303,-173.527658,-493.9378881,392.3462296,17.8015852,-111.6947043,-165.5639327,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
197.5870132,-178.4182692,-437.9267979,408.4959412,19.98812199,-126.0772347,-176.2027323,250.7439423,-218.3533144,-641.5625525,158.0302811,-216.6031837,-646.1332083,239.2170715,-123.4395075,-574.5539331,174.4235992,-123.7412238,-579.84797,good
191.9596481,-201.6207504,-410.2308655,388.3601379,-5.831809044,-87.75079072,-120.5929112,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
189.3371964,-198.1677175,-334.4147301,367.9468918,-4.111847878,-28.00243646,-58.6872375,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
205.8204269,-202.5487518,-554.6534443,418.6517715,-3.856930733,-159.289763,-144.3708014,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
204.9335098,-195.2650309,-515.7867765,411.4979172,-5.095081329,-115.2255964,-141.958487,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
188.5729218,-190.5445361,-428.8477993,379.4688416,7.705020905,-84.17573333,-112.1734571,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
206.8564606,-192.1399784,-680.2307367,412.8472137,4.228448868,-201.8246627,-171.2818658,231.6510773,-237.965219,-382.2687292,144.9376297,-240.7302117,-380.4731941,221.7156219,-154.6794534,-343.0832219,151.5897751,-152.0158696,-337.7129245,good
205.4870224,-194.0649891,-495.9596729,396.5378952,2.447504997,-120.9737098,-128.4262061,252.4598312,-232.1635795,-463.0015469,157.7726364,-234.9578619,-459.6998978,235.4998398,-148.8029695,-416.8763065,165.1067734,-148.4949446,-409.712534,good
186.7595291,-212.1606731,-403.9264297,374.0578079,9.190406799,-97.75485635,-112.3415351,252.4598312,-232.1635795,-463.0015469,157.7726364,-234.9578619,-459.6998978,235.4998398,-148.8029695,-416.8763065,165.1067734,-148.4949446,-409.712534,good
176.7974854,-177.0586681,-420.1505327,348.0498505,6.026773453,-66.23417974,-83.51089954,252.4598312,-232.1635795,-463.0015469,157.7726364,-234.9578619,-459.6998978,235.4998398,-148.8029695,-416.8763065,165.1067734,-148.4949446,-409.712534,good
