Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
345.5792618,-84.69652176,-675.6883621,504.6743393,117.5797606,-135.3198159,-266.0193229,bad
397.0183563,-6.737408638,-1113.529158,503.2492828,188.3363056,-527.5554943,-626.4571238,bad
311.1564636,-42.8106308,-1097.609882,564.7497559,79.07010555,-620.3091145,-637.7341604,bad
351.6143036,18.23301315,-1633.401775,602.2813416,88.55864525,-939.7616673,-1105.147018,bad
257.3975372,-145.3816938,-1233.758984,576.831665,-165.434618,-708.8306808,-732.0096016,bad
282.5974274,-29.26899433,-1401.650677,566.1969757,27.64657974,-760.5980873,-889.7250366,bad
282.2019577,-148.7878847,-1694.655533,661.1687851,-153.1165838,-932.771616,-1010.716352,bad
308.459549,20.68558216,-1406.54706,541.7864227,71.96954727,-629.0917826,-982.5848293,bad
314.7726822,-45.59412003,-1670.604572,606.5562057,29.45687771,-991.4342308,-980.2455997,bad
302.3247528,-163.5081911,-1521.761971,622.4957275,-171.599021,-797.34478,-945.4622841,bad
375.2114105,56.17030621,-1138.672314,534.2637634,140.6413507,-389.3527651,-646.8437576,bad
407.1560669,-72.50062466,-2012.816849,676.1314392,-12.77589798,-1271.287766,-1390.380249,bad
370.1265717,-194.3622208,-1772.170601,683.2372284,-190.3840542,-1030.134001,-1082.435875,bad
402.3487473,-32.86830425,-1713.398037,666.5543747,11.74361229,-1000.417185,-1089.370565,bad
336.5821838,-177.4134064,-1103.107939,574.8388672,-17.15562344,-317.0299602,-457.895093,bad
244.2500305,-236.8117189,-984.3555164,521.7964935,-137.4788761,-308.7397456,-358.3060455,bad
312.6317596,-160.8419037,-1130.790396,534.0787506,40.93321323,-497.9223633,-634.213686,bad
354.833374,-24.6888113,-679.2986155,416.0936737,70.28138638,-189.4700003,-450.87955,bad
320.8353806,-167.3450375,-1044.745388,485.9342575,-65.6960535,-365.3552341,-510.0508404,bad
149.1342545,-271.5558314,-788.1000423,494.4934845,-211.9127727,-449.5153141,-291.8173671,bad
96.71970367,-111.6816902,-841.8495369,438.5779572,-38.54587555,-249.4807792,-240.1408982,bad
149.8011017,-123.031168,-799.268589,446.2159729,-39.22805786,-204.8570395,-148.9062023,bad
160.1622391,-91.91956043,-799.2203522,410.7638931,-9.377474785,-213.2642198,-193.8689947,bad
142.5558472,-140.8336544,-764.1963673,422.8865814,-139.7074914,-198.6653638,-210.788455,bad
216.4411545,-113.1781268,-621.1641598,404.4697189,101.0926723,-78.31409276,-226.3556528,bad
222.2670364,-89.03800964,-782.3749638,419.8926163,100.5785894,-206.2113404,-258.7396145,bad
226.3497925,-46.32277966,-1023.21991,425.2133942,71.59039021,-443.9529705,-451.2542439,bad
208.6913681,-46.0281229,-1140.744696,440.7102585,-2.562346458,-489.1341591,-527.1927738,bad
138.9928436,-97.7301693,-665.9731436,361.3345337,-125.8489251,-144.3320596,-105.3157461,bad
133.2455063,-138.6278915,-800.3077412,349.1983414,-189.8720312,-150.1729131,-354.2108274,bad
84.82440948,-171.0359502,-473.3709669,312.6090622,-245.4757047,-111.6408992,-125.6942153,bad
230.0984192,-28.1591177,-566.4834881,437.8639984,81.82831764,-197.1692491,-181.9850278,bad
222.3608398,-67.70487785,-877.5736427,435.2622986,-1.795191765,-295.4127073,-352.188592,bad
312.9249573,-7.061376572,-1214.945927,530.7168579,137.741518,-593.0277872,-687.3148584,bad
254.323082,0.509877205,-1021.886358,471.8742752,138.3438349,-465.7175732,-529.0153456,bad
115.2119446,-108.5472393,-581.3789749,374.9648285,-129.1619039,-227.4485564,-29.18666661,bad
111.6526031,-92.92425156,-470.3564644,328.4955978,-119.5005226,-107.1816945,-80.73758125,bad
116.4336777,-58.13548565,-783.1776524,339.5555115,-10.33457279,-318.4444284,-325.6344867,bad
221.3139725,-187.3920178,-721.6255474,466.5330887,-13.62575054,-258.1327701,-265.8236504,bad
193.1904984,-208.0789733,-771.573,472.122345,-68.26552391,-322.0504761,-285.7181311,bad
291.8766403,-203.193984,-629.8719406,518.5195541,116.1031294,-277.0530725,-272.9227281,bad
351.2005234,-155.8658266,-999.8434925,513.748436,177.3561573,-470.203042,-491.1692905,bad
97.66559601,-313.0722213,-702.9973698,454.5606995,-198.3473825,-342.0664287,-289.0647125,bad
258.0154419,-295.8178496,-925.914259,506.0847473,5.531058311,-404.7008801,-419.7738218,bad
268.9373779,-240.9801507,-1023.769999,506.4103699,-6.375374794,-505.4686832,-546.7090416,bad
323.9357758,-31.38648033,-1002.704659,451.7103577,106.1524773,-435.6385517,-567.6604843,bad
275.8328629,-220.0030875,-952.2013664,507.0215988,-66.65246487,-471.5449619,-504.8967505,bad
126.6582489,-249.0341163,-921.239233,388.6707306,-213.5620952,-306.8469858,-509.3441534,bad
303.9903259,-124.6101952,-1065.313511,522.4420166,-75.88415623,-561.9803381,-566.4190722,bad
379.4641876,-132.1162176,-1348.235836,632.4506378,-2.991929054,-815.4507637,-809.6077538,bad
343.3734894,-125.0675869,-787.9757595,503.8459015,29.29976463,-242.2633624,-380.9918261,bad
99.47616577,-157.2083473,-555.4789209,394.6231842,-63.74615192,-194.239397,-73.32496941,bad
203.4588242,-38.5619688,-445.8489704,348.1779861,130.0941324,-37.19423532,-193.4485316,bad
218.1667709,-56.21918678,-598.8913965,326.2003708,130.4644489,-42.77390063,-214.6332836,bad
194.87957,-66.64804459,-544.8865986,336.0416031,118.2255507,-81.77225411,-204.4589567,bad
227.7827454,-75.69262505,-479.672184,346.4839935,116.4225054,-66.16250038,-199.3825436,bad
249.0517044,-86.15787506,-797.1200752,439.414711,80.22354126,-402.2986078,-428.2861233,bad
265.138092,-108.6095953,-906.809206,511.0583496,54.04942989,-488.9719391,-483.440752,bad
196.4014435,-157.7744436,-814.3535042,498.1256866,-14.9823904,-407.874341,-461.4404583,bad
202.9787064,-142.5054216,-710.3185129,461.154747,-10.40821552,-297.5340128,-347.0533419,bad
237.5858307,-159.3070793,-648.8811207,463.0195618,8.605213165,-174.3403029,-315.3579569,bad
292.4917984,-35.56188583,-701.0914993,395.6616592,169.3600845,-222.7396274,-330.9316134,bad
248.2619095,-163.5387468,-434.4525433,384.7556686,31.05865002,-148.0333042,-185.2289343,bad
253.0149078,-91.31823063,-423.9941168,342.0678711,132.5070477,-30.18438667,-199.0562582,bad
221.4878845,-170.081706,-430.3646421,354.874115,27.63632298,-123.1426191,-233.8378572,bad
230.0227356,-123.0736113,-431.8291283,344.5632172,94.56563473,-56.88436389,-223.1641889,bad
56.78585052,-240.0691974,-696.7124176,346.3744354,-136.0443234,-399.9881744,-277.8755236,bad
236.5875626,-72.78352261,-743.726263,336.8291855,116.2556934,-333.8282061,-357.5927496,bad
236.4409256,-181.0780978,-382.4398756,359.8942184,38.59140873,-138.3837676,-162.1373248,bad
61.20464325,-240.9579635,-486.1309862,365.5990601,-117.5076199,-222.9695249,-145.1798308,bad
251.3965988,-212.2304964,-401.7964554,328.2767868,168.4020853,-65.89725137,-205.3467894,bad
74.69421387,-267.5313699,-730.9064198,377.9878235,-131.2071419,-312.1668363,-380.6264877,bad
279.161911,-166.8271995,-625.6958485,419.1449738,95.03770351,-263.545897,-375.2509975,bad
256.9898224,-184.2925215,-623.3102274,424.638443,102.859025,-271.2764311,-375.1324654,bad
226.0774994,-239.5280886,-609.0444803,405.915451,21.43406868,-253.9780283,-341.4256167,bad
173.6195755,-284.4139338,-528.8610649,402.566185,-39.72853661,-242.7118921,-273.6249948,bad
266.0615158,-231.7844653,-932.7438927,493.6352158,18.25893402,-511.2826824,-519.0139675,bad
198.6187363,-227.7749491,-514.1147518,404.027977,32.13037491,-191.0219908,-277.4467993,bad
81.76502228,-339.2751288,-550.6121063,395.5079651,-188.4296894,-294.6071863,-287.6145387,bad
88.50719452,-289.275341,-459.0315771,354.1219711,-154.0491986,-173.8830507,-185.780654,bad
219.2427826,-6.295208931,-976.5916157,445.7691956,-106.4932251,-798.9361668,-805.5765438,bad
-8.705291748,-34.9551487,-501.2946081,40.35743713,-64.91053104,-611.4122486,-524.671669,bad
53.23829651,-140.2788877,-973.1876564,126.6986847,-231.2927628,-712.6169729,-802.7075672,bad
127.6742172,28.12710285,-929.0322304,317.2468185,-110.3888226,-894.9217415,-777.3219395,bad
196.1723328,-5.184216499,-944.3234825,436.0271454,-148.0672073,-800.2867126,-765.887146,bad
205.1654816,-97.49437094,-1165.577574,366.3844299,-170.6284904,-820.698452,-877.5485802,bad
194.5623779,-148.084116,-352.8270221,373.474884,89.72070694,-255.9554601,-33.10948849,bad
265.1816559,-191.1715508,-574.1064978,418.2772827,103.3242273,-303.705132,-248.2059789,bad
183.958168,-270.1589155,-405.8453035,422.2987747,146.9917059,-288.8017273,-26.0589239,bad
150.1676559,-128.704834,-535.2191448,176.9028854,149.273386,-484.9287558,-190.8326912,bad
39.82524872,-223.6555481,-543.350358,321.8746567,-55.77020645,-358.4474945,-19.74045351,bad
108.5594559,-236.3513875,-421.3864517,319.3102264,15.34451008,-174.1101909,-110.0924599,bad
87.10948944,-141.020937,-476.6475964,461.1856461,-46.46126747,-278.4230161,-193.9919257,bad
115.512886,-113.1779766,-466.0635996,436.2090683,10.59425354,-208.4640741,-171.8609011,bad
179.7775269,-129.9213123,-501.3099718,470.7996368,61.06437206,-224.51437,-211.3968229,bad
185.3653717,-77.75672436,-1114.372358,445.8475494,101.4202023,-689.207983,-587.3159695,bad
128.2487106,-74.04141426,-486.4295483,442.3099899,-93.48017693,-300.4877472,-158.9406681,bad
187.7118301,-119.2122173,-973.5831642,536.6843796,41.92339897,-494.6473646,-372.9574299,bad
224.2406464,-235.2477121,-509.3762112,513.865509,42.6162672,-96.04596734,-166.322912,bad
