Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Label
406.66561126708984,-79.87738609313965,-777.7776145935059,538.2435989379883,134.32168006896973,-269.1821622848511,0,0,-294.8150897026062,bad
304.46895599365234,-40.26806831359863,-1516.0775756835938,596.8642807006836,52.878355979919434,-843.4637546539307,0,0,-867.1050453186035,bad
381.70604705810547,57.6487398147583,-1616.6582679748535,659.4311141967773,109.03454303741455,-996.238260269165,0,0,-1081.4365482330322,bad
379.8133087158203,1.8460893630981445,-1665.9712600708008,597.7360534667969,74.46267127990723,-886.792802810669,0,0,-1060.7392501831055,bad
260.58910369873047,-16.488118171691895,-1328.9378356933594,544.427375793457,-103.4388542175293,-737.817850112915,0,0,-880.4174709320068,bad
283.66241455078125,-51.00085258483887,-1333.3352851867676,551.6321563720703,-66.93059921264648,-681.9128894805908,0,0,-675.6018447875977,bad
225.73196411132812,-96.32379055023193,-1294.2338275909424,551.5198135375977,-126.16716384887695,-662.3085165023804,0,0,-662.4547290802002,bad
269.28672790527344,-83.22568416595459,-1751.7138862609863,596.7859649658203,-45.16505241394043,-999.3246459960938,0,0,-1023.8727378845215,bad
273.0508804321289,-76.29670143127441,-1478.4943771362305,578.5114669799805,-22.27375030517578,-892.3850154876709,0,0,-920.1495265960693,bad
372.0011901855469,-10.130767822265625,-2144.2002868652344,687.191162109375,62.193002700805664,-1295.2745246887207,0,0,-1384.0711784362793,bad
316.2721633911133,-30.501222610473633,-1679.007396697998,612.3910140991211,57.8840446472168,-881.2126922607422,0,0,-890.919713973999,bad
330.40111541748047,-32.0751428604126,-1476.1542892456055,580.4285049438477,53.80082130432129,-746.0592269897461,0,0,-885.0107860565186,bad
335.29762268066406,-120.83905220031738,-1871.502628326416,695.2240753173828,-120.38063049316406,-1073.6137676239014,0,0,-1062.315273284912,bad
320.2293395996094,-167.97606468200684,-1231.1291313171387,579.1918182373047,-94.36341762542725,-426.3472509384155,0,0,-552.5894737243652,bad
267.59849548339844,-243.48050594329834,-1103.0743789672852,551.9027709960938,-145.45336246490479,-387.93243885040283,0,0,-432.28918075561523,bad
279.3791198730469,-245.4761552810669,-1192.4091911315918,547.4193572998047,-111.37231349945068,-449.2991065979004,0,0,-497.6502799987793,bad
339.8786163330078,-120.8589220046997,-1743.230209350586,564.9223327636719,-22.499184608459473,-875.7627010345459,0,0,-948.9930152893066,bad
268.1459045410156,-202.52729415893555,-978.2922649383545,481.3502502441406,-72.6167106628418,-292.8266716003418,0,0,-360.4694080352783,bad
297.82894134521484,-173.88155937194824,-1251.3714408874512,506.7763900756836,-43.33089351654053,-499.2176342010498,0,0,-507.40150451660156,bad
