Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
193.2161713,-177.7180409,-656.3827229,379.9454498,2.783403397,-237.6487398,-270.1950932,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
234.3877029,-170.3315592,-929.589529,421.0443497,-8.795371056,-454.837718,-445.3284931,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
220.245018,-179.8253345,-749.0469933,406.1694717,-6.307053566,-337.3159361,-356.2776518,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
207.9704285,-162.4238491,-716.6992092,395.1580811,-1.402001381,-297.8789449,-318.5814357,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
218.4394073,-168.448348,-840.5358124,416.3340759,-4.53289032,-380.6951094,-365.686841,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
196.6775894,-201.3328958,-529.4017124,363.2803726,8.045082092,-147.1234667,-211.330111,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
204.8754883,-248.3907723,-577.0200205,375.8809662,9.417815208,-159.2650437,-226.1280942,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
205.7131958,-250.7267833,-596.7871714,377.0702362,6.822166443,-168.5921037,-202.1680069,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
211.6867065,-229.8172474,-683.8442516,388.3615875,3.523049355,-230.0443983,-203.9597654,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
213.418045,-244.3170118,-636.0693884,390.5867767,0.364480019,-193.9355993,-221.0473037,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
175.5884552,-210.3926682,-558.8093233,348.4857178,16.82221413,-126.8283284,-147.4888587,240.3733444,-230.1038146,-493.7653255,159.7182083,-238.1178689,-500.5152655,224.7385788,-151.3433218,-450.7406759,162.0571518,-155.5532742,-458.723917,good
196.4669037,-197.1092749,-588.0060053,357.3332214,12.30794907,-160.1035559,-235.02069,232.7604675,-231.4094496,-542.2855854,157.5933838,-240.0038695,-532.088728,214.6050262,-154.4501138,-501.6323948,163.6863708,-158.7996697,-500.310173,good
193.3739853,-184.9587822,-558.6670589,355.7230759,12.46248722,-104.9044454,-201.2123251,232.7604675,-231.4094496,-542.2855854,157.5933838,-240.0038695,-532.088728,214.6050262,-154.4501138,-501.6323948,163.6863708,-158.7996697,-500.310173,good
