Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
324.9659729,-80.64471245,-491.8661928,288.7310791,120.50354,114.5865655,-233.6848211,bad
230.9993362,-152.8986597,-700.572052,379.6993637,35.03029346,-316.6321135,-347.5567174,bad
127.8339767,-258.624022,-398.573041,368.8047409,-105.0824046,-188.3201265,-136.2563896,bad
135.7530594,-225.8361411,-440.6111956,367.169075,-42.92294025,-152.30793,-162.6477599,bad
142.7277374,-214.0504718,-469.4700909,365.904541,-20.86951733,-150.591284,-168.2175922,bad
298.8437653,-59.10159588,-792.9909325,345.2029419,135.9889412,-358.0844736,-296.8279696,bad
254.2993927,-200.8771133,-747.7449417,389.4808197,-25.98670006,-380.4792023,-392.1726894,bad
229.5918655,-191.788094,-683.2927036,381.0307693,-9.347262383,-304.788208,-335.8499908,bad
217.4287415,-215.3690243,-686.53543,373.5680389,0.725226402,-258.0724525,-316.7614174,bad
319.3026733,-66.28279209,-828.654871,380.6095886,136.0334873,-298.8339186,-390.2504253,bad
135.912323,-189.3710375,-678.5943317,363.5756683,-75.14472485,-196.7954564,-313.7295985,bad
35.74047089,-225.5435872,-609.7748566,254.3591309,-144.5192671,-33.96597683,-334.9035573,bad
178.3644104,-195.3405404,-696.9818401,393.2941437,-144.4681764,-336.9433022,-385.074234,bad
199.6548843,-204.7258687,-693.3013773,399.7179794,-33.04601669,-292.5908732,-382.5458336,bad
144.8908615,-217.0813894,-904.317627,375.5140305,-65.61335564,-441.0668278,-461.0519886,bad
147.2741318,-247.0840859,-907.1931267,388.8489151,-84.36474323,-455.3531742,-478.9679432,bad
152.3434067,-262.460568,-811.5920734,397.0990372,-86.62037373,-374.3563843,-424.1112757,bad
233.0028915,-27.78991699,-371.3825655,337.4181747,124.2332697,-10.53978726,-97.53127813,bad
232.9181671,-133.2755327,-473.6237383,341.3726807,30.29960632,-121.4473128,-197.9876232,bad
246.4202118,-180.4215574,-571.7122936,378.7207031,54.54377174,-184.77916,-268.8043785,bad
203.8864899,-269.2591095,-880.7349586,395.0688934,-105.3698945,-364.4240999,-496.2211132,bad
138.6225128,-299.8247588,-858.7375832,409.9256897,-125.6623936,-502.7483654,-504.3350315,bad
45.62522888,-260.8803284,-724.0167046,292.0198822,-145.6589913,-405.8701515,-351.1028981,bad
272.2629166,-4.357581139,-580.1215124,334.1125107,84.68853951,-171.5696239,-247.4515486,bad
252.9359436,-93.06231022,-444.7882318,333.8554382,-17.08301067,-123.0712616,-202.5520778,bad
230.4288483,-149.7579432,-479.4143915,375.5438995,-38.78911972,-162.0183527,-254.9698234,bad
277.2821808,-69.89025593,-533.8677835,317.5862885,106.5604734,-122.0058131,-250.714488,bad
236.6234207,-193.9510489,-787.0061302,366.9394302,-52.32148647,-365.7276964,-437.3409176,bad
247.1536636,-60.5325222,-651.8699169,348.6517715,120.2601242,-172.9158139,-227.5758219,bad
264.6365738,-100.7326126,-563.3789921,377.972908,60.73409557,-193.971498,-253.5023975,bad
174.0254211,-229.4242287,-834.6506596,376.1012268,-86.00312233,-382.267313,-445.3663445,bad
180.2547836,8.329954147,-983.7060356,390.5599594,-18.28760147,-631.3053131,-597.2838306,bad
178.6024857,-28.97455215,-1035.311565,385.1639175,-52.22415447,-612.2798252,-601.2442303,bad
192.177124,-1.974749565,-1107.621861,447.42836,59.53383923,-715.0269699,-679.5582104,bad
177.0940018,12.61196136,-1051.520176,346.6266251,109.4766569,-811.4750862,-762.7611065,bad
147.6935577,-45.41730881,-1054.439793,370.2230072,-129.0154552,-620.0496054,-639.1488647,bad
163.4740829,50.17893791,-978.2086658,333.928566,96.79186821,-714.5886755,-715.2280712,bad
191.444931,-189.6111059,-436.289835,360.8756256,24.14460182,-167.6298022,-180.8930254,bad
189.2170715,-192.4446559,-570.692625,380.3632355,-24.32506084,-209.3357706,-209.2286539,bad
181.9018555,-167.5893545,-440.7283115,309.2823029,-14.91741657,-93.97963643,-158.5465336,bad
42.19802856,-292.552582,-709.7225475,312.0130157,-210.8929324,-271.7312694,-399.4191599,bad
64.93244171,-222.007556,-447.948432,321.2337494,-135.7148409,-170.2011073,-133.3625114,bad
252.8172302,-171.9851303,-411.7145348,379.2751312,61.14634037,-96.53632879,-154.3317854,bad
111.3494873,-189.3382716,-239.0881634,340.55336,63.765378,-177.6555562,60.54623902,bad
-88.13472748,-182.1803999,-236.3359594,284.3746948,-129.0751719,-215.7588243,63.92215312,bad
-52.74959564,-168.0336785,-259.1785955,308.8739014,-105.8999419,-243.6734533,77.18218982,bad
68.7171936,-197.8435135,-228.6278486,351.4046478,36.12403393,-209.8883486,35.18247664,bad
-6.053848267,-199.0910625,-144.7571683,306.1009216,21.1001873,-162.5020409,78.2071048,bad
52.66967773,-185.1100588,-291.8345761,362.6434326,37.6020813,-248.9357972,-11.37000471,bad
59.20661926,-179.1298914,-292.6073527,357.3026276,4.297585487,-177.1985722,18.50817159,bad
10.34240723,-193.2850671,-261.6358423,345.5205536,-69.57645893,-158.5596979,14.65517431,bad
-19.90779877,-191.9696903,-295.2210045,310.515213,-73.54625702,-183.6115408,87.0688659,bad
-20.88218689,-181.4289737,-261.5877342,294.0706635,-80.7186985,-185.546658,76.47351265,bad
62.43721008,-185.0504494,-285.6463552,279.7622681,31.7346096,-123.4610724,43.98863554,bad
-17.63420105,-192.9583097,-216.1496329,251.6429901,-105.5367494,-121.8290877,65.70182562,bad
52.04654694,-169.2188287,-232.6567411,357.418251,88.36445332,-209.3741155,-42.37825334,bad
171.8405151,-178.5509634,-517.3006153,399.8769379,118.6120892,-339.6566463,-212.36377,bad
123.2104492,-172.5708818,-496.9950485,385.123291,114.0685129,-385.9236145,-221.8154669,bad
149.0944672,-176.177659,-516.3103437,366.5279388,107.354579,-351.5562773,-162.5411475,bad
-49.62165833,-150.882647,-253.0010176,307.7297211,-100.588181,-301.72755,28.56086969,bad
104.647522,-155.8013248,-644.0655041,315.2735901,83.2073164,-307.2094488,-239.5531511,bad
93.46878052,-196.5697002,-451.8628263,308.7586975,34.3029213,-213.9300728,-145.1269054,bad
-34.6219635,-217.6573563,-365.5633736,304.8651505,-131.26055,-210.4965448,-87.76075244,bad
6.872138977,-163.5258079,-338.0051994,312.4755859,9.008359909,-157.4260461,-56.16478086,bad
-44.65270996,-179.1513062,-299.1584444,314.0055847,-130.3451657,-266.0313177,-22.82217622,bad
-3.800926208,-205.4088879,-320.224793,331.7335892,-100.6793547,-268.2564354,-36.94065392,bad
210.4844666,-127.5218725,-734.060955,296.2904358,110.8438969,-372.3903465,-288.8624954,bad
250.5713272,-48.60716343,-794.3401909,411.4001846,31.42742157,-462.1502781,-464.2663908,bad
342.8316116,-61.26281261,-1195.864391,458.6610031,119.8519993,-786.0238838,-741.4319229,bad
311.2376785,-68.91152859,-935.1092148,412.5722885,123.5662794,-510.7589436,-560.4998016,bad
297.0441055,-60.64478874,-884.8875332,397.5455093,119.1791296,-450.0701237,-524.6021891,bad
357.830925,-33.08863163,-792.0536613,384.0415573,97.88994312,-346.6040182,-453.026948,bad
201.750679,-194.3923688,-1034.99073,403.3702087,-132.2629023,-552.3095369,-638.5516119,bad
376.4635468,-121.2409544,-860.1507854,462.9521942,60.96214771,-466.7643642,-487.5189114,bad
370.8718109,34.38664913,-1066.597538,444.3595886,166.3170862,-645.2927113,-676.0959721,bad
325.0511169,77.60926723,-922.6204205,425.7071686,178.7330103,-529.158082,-569.1335535,bad
194.9768829,-215.3223002,-1015.365028,503.3531952,-50.38115501,-670.5197239,-595.3580475,bad
362.8544235,13.71050835,-932.0376778,448.5813522,158.8559103,-434.7816181,-556.6348886,bad
300.0335693,-177.3941803,-543.2688618,476.2987518,9.796886444,-178.7644672,-227.0824456,bad
214.1060638,-255.2753592,-1004.296818,510.6675339,-89.62273121,-402.5932646,-348.8706779,bad
185.5028152,-171.3140202,-1169.938717,478.9827728,151.2794638,-603.6128998,-583.4114456,bad
226.8066025,-221.1974001,-1241.789474,519.8208618,-29.2596817,-547.9617405,-578.3154202,bad
246.7439651,-179.55235,-786.8558407,478.0836868,16.53008938,-210.3353763,-270.5773401,bad
128.8093948,-322.7074242,-845.4202652,443.0313873,-260.0733805,-268.2944369,-430.0105906,bad
285.6009674,-182.5218344,-854.4879341,444.941864,37.09593773,-260.4808187,-296.3338852,bad
378.037262,-93.17891121,-601.9475269,487.5710297,98.45453739,-112.7788854,-102.2130954,bad
439.6738434,-41.06453419,-439.7782087,481.3002014,103.1359577,-13.37973967,-134.7108364,bad
364.0988922,-133.4929633,-788.483448,544.9799347,65.46379566,-340.4130292,-217.4962735,bad
330.5350113,-140.8998084,-747.3780155,510.6661606,35.87109089,-299.4707179,-204.5001769,bad
310.1468277,-152.0853925,-763.2069969,505.8095932,16.3704443,-301.8126297,-224.0307784,bad
